,State Agency or Indian Tribal Organization,Child Part,Avg Food Cost per Person,Cumulative Food Cost,Nutritional services admin annual cost,Infants Full Breastfed Part,Infants partially Breastfed Part,Part Infants Formula-fed,Total Infants Part,Pregnant Women Part,Tot Breastfeeding Women Part,Fully Breastfeeding Women Part,Partially Breastfeeding Women Part,Postpartum Women Part,Total Women Part,Cumulative Rebate Cost
0,Connecticut,27134.75,48.0384098644291,29569803,14276042.0,963.0,3319.8333333333303,8670.0,12952.8333333333,5308.08333333333,3040.33333333333,1010.9166666666699,2029.41666666667,2859.41666666667,11207.8333333333,12980450
1,Maine,11832.5,45.5647520568754,11818312,5434603.0,899.166666666667,557.916666666667,3671.9166666666706,5129,1879.66666666667,1389.58333333333,878.583333333333,511.0,1383.75,4653,3693845
2,Massachusetts,61513.3333333333,38.2513394479753,51989002,25419482.0,3084.8333333333303,5536.91666666667,17252.9166666667,25874.6666666667,10469.3333333333,8566.41666666667,3059.8333333333303,5506.58333333333,6838.08333333333,25873.8333333333,24782602
3,New Hampshire,7728.33333333333,33.0496730025956,5831747,4223646.0,647.0,357.583333333333,2645.0833333333303,3649.66666666667,1379,915.5,616.5,299.0,1032,3326.5,3348020
4,New York,251166.666666667,53.9749667202264,305516933,127233664.0,9623.83333333333,35916.5833333333,62421.9166666667,107962.333333333,42639.3333333333,46362,10746.5833333333,35615.4166666667,23565.0833333333,112566.416666667,103856271
5,Rhode Island,10901.6666666667,44.2299818683992,11001633,5901350.0,510.083333333333,624.333333333333,4090.75,5225.16666666667,2061.83333333333,944.833333333333,367.166666666667,577.666666666667,1594.58333333333,4601.25,5383252
6,Vermont,8246.5,53.0646298543689,8745051,4281200.0,737.333333333333,352.333333333333,1506.91666666667,2596.58333333333,1009.08333333333,1206.91666666667,838.75,368.166666666667,674.25,2890.25,25000
7,"Indian Township, ME",50.75,61.8384321223709,64683,43676.0,3.0,0.0,16.1666666666667,19.1666666666667,7.66666666666667,3,3.0,0.0,6.58333333333333,17.25,0
8,"Pleasant Point, ME",42.1666666666667,67.1315789473684,63775,28755.0,2.5833333333333304,2.5833333333333304,13.333333333333302,18.5,10.5,5.08333333333333,2.5,2.5833333333333304,2.91666666666667,18.5,0
9,"Seneca Nation, NY",68.25,37.5043310875842,77934,60264.0,5.66666666666667,6.58333333333333,43.5,55.75,24.1666666666667,12.0833333333333,5.0,7.08333333333333,12.9166666666667,49.1666666666667,47151
